group,model,dropped_cols,base_auc,val_auc,delta_auc,base_accuracy,val_accuracy,delta_accuracy
accuracy,LR,24,0.7564659655518382,0.7095617033013155,-0.04690426225052269,0.6863254698120752,0.6561375449820072,-0.030187924830068047
mmr,LR,51,0.7564659655518382,0.7140148617156928,-0.042451103836145365,0.6863254698120752,0.6574370251899241,-0.02888844462215112
hero_multihot,LR,76,0.7564659655518382,0.7247040248148281,-0.03176194073701011,0.6863254698120752,0.6646341463414634,-0.021691323470611756
global_hero_wr,LR,14,0.7564659655518382,0.756521087407514,5.51218556757993e-05,0.6863254698120752,0.6870251899240304,0.0006997201119551821
global_hero_counts,LR,12,0.7564659655518382,0.7565699735782838,0.00010400802644561224,0.6863254698120752,0.6880247900839664,0.001699320271891236
mmr,XGBoost,51,0.7343119761125303,0.6786662029875326,-0.055645773124997744,0.6701319472211116,0.6266493402638944,-0.043482606957217174
accuracy,XGBoost,24,0.7343119761125303,0.6963449093227486,-0.03796706678978168,0.6701319472211116,0.6512395041983207,-0.018892443022790917
hero_multihot,XGBoost,76,0.7343119761125303,0.7273067637195061,-0.007005212393024207,0.6701319472211116,0.6621351459416234,-0.007996801279488208
global_hero_wr,XGBoost,14,0.7343119761125303,0.7315294016540554,-0.0027825744584748513,0.6701319472211116,0.6736305477808876,0.0034986005597760217
global_hero_counts,XGBoost,12,0.7343119761125303,0.7334972199238127,-0.0008147561887176247,0.6701319472211116,0.6659336265493803,-0.004198320671731315
