group,model,dropped_cols,base_auc,val_auc,delta_auc,base_accuracy,val_accuracy,delta_accuracy
player_hero_wr,LR,14,0.9965911988903677,0.9920802005012531,-0.004510998389114618,0.9695121951219512,0.9515193922431028,-0.017992802878848413
cumulative_counts,LR,128,0.9965911988903677,0.9959344933306152,-0.0006567055597525018,0.9695121951219512,0.9655137944822071,-0.003998400639744104
mmr,LR,51,0.9965911988903677,0.9961119305440637,-0.00047926834630407367,0.9695121951219512,0.968312674930028,-0.0011995201919231535
hero_multihot,LR,76,0.9965911988903677,0.9965516662469571,-3.953264341061136e-05,0.9695121951219512,0.9685125949620151,-0.0009996001599360538
global_hero_wr,LR,14,0.9965911988903677,0.9965644174231431,-2.6781467224679112e-05,0.9695121951219512,0.9689124350259896,-0.0005997600959616323
experience_gap,LR,3,0.9965911988903677,0.9965738508951806,-1.7347995187155796e-05,0.9695121951219512,0.968812475009996,-0.0006997201119551821
global_hero_counts,LR,24,0.9965911988903677,0.9966198990298712,2.8700139503512467e-05,0.9695121951219512,0.9692123150739704,-0.0002998800479807606
accuracy,LR,24,0.9965911988903677,0.9966321705379876,4.0971647619847396e-05,0.9695121951219512,0.9691123550579768,-0.0003998400639744215
ending_level,LR,14,0.9965911988903677,0.9966455212992609,5.432240889313711e-05,0.9695121951219512,0.9695121951219512,0.0
per_minute_rates,LR,190,0.9965911988903677,0.9966609506221693,6.975173180157057e-05,0.9695121951219512,0.9699120351859256,0.0003998400639744215
player_hero_wr,XGBoost,14,0.9969461132896037,0.9948624751671844,-0.0020836381224192957,0.968812475009996,0.9590163934426229,-0.009796081567373105
mmr,XGBoost,51,0.9969461132896037,0.9965864421820101,-0.00035967110759360654,0.968812475009996,0.9660135945621752,-0.0027988804478208396
cumulative_counts,XGBoost,128,0.9969461132896037,0.9969192518777006,-2.6861411903111865e-05,0.968812475009996,0.9685125949620151,-0.00029988004798087164
accuracy,XGBoost,24,0.9969461132896037,0.996956146346728,1.0033057124325673e-05,0.968812475009996,0.9691123550579768,0.0002998800479807606
global_hero_counts,XGBoost,24,0.9969461132896037,0.9969568258764934,1.0712586889671805e-05,0.968812475009996,0.9694122351059576,0.0005997600959616323
ending_level,XGBoost,14,0.9969461132896037,0.9969791304417343,3.301715213055445e-05,0.968812475009996,0.9694122351059576,0.0005997600959616323
experience_gap,XGBoost,3,0.9969461132896037,0.9969951593497299,4.904606012623436e-05,0.968812475009996,0.9695121951219512,0.0006997201119551821
per_minute_rates,XGBoost,190,0.9969461132896037,0.997018623112806,7.25098232022825e-05,0.968812475009996,0.9684126349460216,-0.0003998400639744215
hero_multihot,XGBoost,76,0.9969461132896037,0.9970414473184556,9.533402885186781e-05,0.968812475009996,0.9699120351859256,0.0010995601759296036
global_hero_wr,XGBoost,14,0.9969461132896037,0.9970901336275296,0.00014402033792593194,0.968812475009996,0.9695121951219512,0.0006997201119551821
