feature_set,split,model,raw_cols,matrix_cols,val_roc_auc,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
clean,random,Dummy,112,177,0.5,0.5051979208316674,0.2525989604158337,0.5,0.33563554256873424
clean,random,LR,112,177,0.7564659655518382,0.6863254698120752,0.6863111100873007,0.6862167380172921,0.686228353615387
clean,random,RF,112,177,0.7215182293852652,0.663234706117553,0.663224064636913,0.6632409172852386,0.6632213500599199
clean,random,XGBoost,112,177,0.7343119761125303,0.6701319472211116,0.6700931463210442,0.6700588792555552,0.6700673321206261
feature_analysis,random,Dummy,330,396,0.5,0.5051979208316674,0.2525989604158337,0.5,0.33563554256873424
feature_analysis,random,LR,330,396,0.9773957221602652,0.9185325869652139,0.9185170374003218,0.9185393707554372,0.9185261385803904
feature_analysis,random,RF,330,396,0.9501541133535594,0.87624950019992,0.8762428766045628,0.8762257317935989,0.8762334283563156
feature_analysis,random,XGBoost,330,396,0.9731361497843493,0.9086365453818472,0.9086210124388135,0.9086557702070167,0.9086312721435605
full,random,Dummy,416,482,0.5,0.5051979208316674,0.2525989604158337,0.5,0.33563554256873424
full,random,LR,416,482,0.9965911988903677,0.9695121951219512,0.9695118063615915,0.9695057819988568,0.9695087069648953
full,random,RF,416,482,0.9956144348111107,0.9685125949620151,0.9685241662872062,0.9684956809887557,0.9685082875081444
full,random,XGBoost,416,482,0.9969461132896037,0.968812475009996,0.9688152365785333,0.9688028684150568,0.9688087038806724
minimal,random,Dummy,40,106,0.5,0.5051979208316674,0.2525989604158337,0.5,0.33563554256873424
minimal,random,LR,40,106,0.7206540274130302,0.6611355457816873,0.6611450218445731,0.6609762844111875,0.6609685911325731
minimal,random,RF,40,106,0.7053180599025475,0.6555377848860455,0.655494465514112,0.6554631395074608,0.6554703110568718
minimal,random,XGBoost,40,106,0.7099513136909258,0.6537385045981607,0.6537709292139475,0.6535514224156883,0.6535255793447516
clean,time,Dummy,112,177,0.5,0.5103468959312206,0.2551734479656103,0.5,0.3379004500926661
clean,time,LR,112,177,0.7442371689018165,0.6821953413975808,0.6820698667821892,0.6818667116722771,0.6819092313975885
clean,time,RF,112,177,0.7171853309972008,0.6553034089773068,0.65515897515635,0.6551640138552224,0.6551613896587442
clean,time,XGBoost,112,177,0.724986552307624,0.6612016395081476,0.6610514438286292,0.6608350407070147,0.6608674689302361
feature_analysis,time,Dummy,330,396,0.5,0.5103468959312206,0.2551734479656103,0.5,0.3379004500926661
feature_analysis,time,LR,330,396,0.9790728311021829,0.9227231830450865,0.9227078494699521,0.9226673102895543,0.922686462595145
feature_analysis,time,RF,330,396,0.9486148576904203,0.8753373987803659,0.8752810148985988,0.8752902002016454,0.8752855287327002
feature_analysis,time,XGBoost,330,396,0.974466181603237,0.9135259422173349,0.9134802318992197,0.9135033828195082,0.913491359513875
full,time,Dummy,416,482,0.5,0.5103468959312206,0.2551734479656103,0.5,0.3379004500926661
full,time,LR,416,482,0.9963341890531585,0.9681095671298611,0.9680841840397125,0.9681103922566887,0.968096813508585
full,time,RF,416,482,0.9953115245423886,0.9669099270218934,0.9669013056488529,0.9668895417546348,0.966895336620897
full,time,XGBoost,416,482,0.9967749934111307,0.9695091472558233,0.9694783696971573,0.969518850565243,0.9694974364185542
minimal,time,Dummy,40,106,0.5,0.5103468959312206,0.2551734479656103,0.5,0.3379004500926661
minimal,time,LR,40,106,0.7191632715825964,0.6602019394181745,0.6600728202994722,0.6600956875800112,0.6600818708065656
minimal,time,RF,40,106,0.7031935719830477,0.6560031990402879,0.6558883251328906,0.6559241234204211,0.6558990815260899
minimal,time,XGBoost,40,106,0.709374471340718,0.6543037088873338,0.654162348682602,0.6541721640566478,0.6541668376317762
